a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,m11,n12,o13,p14,q15,r16,s17,s18,t19,
255,mstr,14240730,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14299295,,,,,256,256,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
256,mstr,14299295,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14357860,,,,,257,257,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
257,mstr,14357860,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14416425,,,,,258,258,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
258,mstr,14416425,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14474990,,,,,259,259,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
259,mstr,14474990,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14533555,,,,,260,260,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
260,mstr,14533555,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14592120,,,,,261,261,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
261,mstr,14592120,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14650685,,,,,262,262,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
262,mstr,14650685,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14709250,,,,,263,263,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
263,mstr,14709250,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14767815,,,,,264,264,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
264,mstr,14767815,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14826380,,,,,265,265,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
265,mstr,14826380,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14884945,,,,,266,266,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
266,mstr,14884945,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14943510,,,,,267,267,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
267,mstr,14943510,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15002075,,,,,268,268,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
268,mstr,15002075,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15060640,,,,,269,269,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
269,mstr,15060640,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15119205,,,,,270,270,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
270,mstr,15119205,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15177770,,,,,271,271,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
271,mstr,15177770,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15236335,,,,,272,272,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
272,mstr,15236335,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15294900,,,,,273,273,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
273,mstr,15294900,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15353465,,,,,274,274,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
274,mstr,15353465,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15412030,,,,,275,275,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
275,mstr,15412030,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15470595,,,,,276,276,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
276,mstr,15470595,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15529160,,,,,277,277,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
277,mstr,15529160,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15587725,,,,,278,278,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
278,mstr,15587725,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15646290,,,,,279,279,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
279,mstr,15646290,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15704855,,,,,280,280,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
280,mstr,15704855,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15763420,,,,,281,281,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
281,mstr,15763420,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15821985,,,,,282,282,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
282,mstr,15821985,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15880550,,,,,283,283,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
283,mstr,15880550,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15939115,,,,,284,284,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
284,mstr,15939115,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15997680,,,,,285,285,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
285,mstr,15997680,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16056245,,,,,286,286,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
286,mstr,16056245,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16114810,,,,,287,287,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
287,mstr,16114810,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16173375,,,,,288,288,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
288,mstr,16173375,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16231940,,,,,289,289,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
289,mstr,16231940,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16290505,,,,,290,290,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
290,mstr,16290505,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16349070,,,,,291,291,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
291,mstr,16349070,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16407635,,,,,292,292,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
292,mstr,16407635,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16466200,,,,,293,293,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
293,mstr,16466200,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16524765,,,,,294,294,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
294,mstr,16524765,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16583330,,,,,295,295,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
295,mstr,16583330,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16641895,,,,,296,296,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
296,mstr,16641895,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16700460,,,,,297,297,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
297,mstr,16700460,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16759025,,,,,298,298,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
298,mstr,16759025,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16817590,,,,,299,299,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
299,mstr,16817590,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16876155,,,,,300,300,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
300,mstr,16876155,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16934720,,,,,301,301,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
301,mstr,16934720,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16993285,,,,,302,302,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
302,mstr,16993285,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17051850,,,,,303,303,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
303,mstr,17051850,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17110415,,,,,304,304,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
304,mstr,17110415,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17168980,,,,,305,305,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
305,mstr,17168980,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17227545,,,,,306,306,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
306,mstr,17227545,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17286110,,,,,307,307,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
307,mstr,17286110,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17344675,,,,,308,308,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
308,mstr,17344675,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17403240,,,,,309,309,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
309,mstr,17403240,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17461805,,,,,310,310,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
310,mstr,17461805,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17520370,,,,,311,311,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
311,mstr,17520370,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17578935,,,,,312,312,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
312,mstr,17578935,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17637500,,,,,313,313,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
313,mstr,17637500,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17696065,,,,,314,314,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
314,mstr,17696065,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17754630,,,,,315,315,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
315,mstr,17754630,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17813195,,,,,316,316,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
316,mstr,17813195,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17871760,,,,,317,317,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
317,mstr,17871760,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17930325,,,,,318,318,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
318,mstr,17930325,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17988890,,,,,319,319,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
319,mstr,17988890,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18047455,,,,,320,320,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
320,mstr,18047455,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18106020,,,,,321,321,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
321,mstr,18106020,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18164585,,,,,322,322,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
322,mstr,18164585,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18223150,,,,,323,323,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
323,mstr,18223150,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18281715,,,,,324,324,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
324,mstr,18281715,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18340280,,,,,325,325,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
325,mstr,18340280,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18398845,,,,,326,326,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
326,mstr,18398845,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18457410,,,,,327,327,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
327,mstr,18457410,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18515975,,,,,328,328,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
328,mstr,18515975,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18574540,,,,,329,329,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
329,mstr,18574540,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18633105,,,,,330,330,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
330,mstr,18633105,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18691670,,,,,331,331,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
331,mstr,18691670,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18750235,,,,,332,332,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
332,mstr,18750235,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18808800,,,,,333,333,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
333,mstr,18808800,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18867365,,,,,334,334,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
334,mstr,18867365,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18925930,,,,,335,335,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
335,mstr,18925930,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18984495,,,,,336,336,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
336,mstr,18984495,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19043060,,,,,337,337,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
337,mstr,19043060,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19101625,,,,,338,338,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
338,mstr,19101625,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19160190,,,,,339,339,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
339,mstr,19160190,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19218755,,,,,340,340,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
340,mstr,19218755,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19277320,,,,,341,341,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
341,mstr,19277320,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19335885,,,,,342,342,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
342,mstr,19335885,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19394450,,,,,343,343,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
343,mstr,19394450,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19453015,,,,,344,344,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
344,mstr,19453015,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19511580,,,,,345,345,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
345,mstr,19511580,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19570145,,,,,346,346,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
346,mstr,19570145,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19628710,,,,,347,347,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
347,mstr,19628710,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19687275,,,,,348,348,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
348,mstr,19687275,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19745840,,,,,349,349,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
349,mstr,19745840,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19804405,,,,,350,350,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
350,mstr,19804405,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19862970,,,,,351,351,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
351,mstr,19862970,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19921535,,,,,352,352,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
352,mstr,19921535,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19980100,,,,,353,353,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
353,mstr,19980100,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20038665,,,,,354,354,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
354,mstr,20038665,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20097230,,,,,355,355,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
355,mstr,20097230,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20155795,,,,,356,356,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
356,mstr,20155795,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20214360,,,,,357,357,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
357,mstr,20214360,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20272925,,,,,358,358,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
358,mstr,20272925,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20331490,,,,,359,359,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
359,mstr,20331490,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20390055,,,,,360,360,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
360,mstr,20390055,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20448620,,,,,361,361,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
361,mstr,20448620,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20507185,,,,,362,362,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
362,mstr,20507185,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20565750,,,,,363,363,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
363,mstr,20565750,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20624315,,,,,364,364,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
364,mstr,20624315,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20682880,,,,,365,365,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
365,mstr,20682880,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20741445,,,,,366,366,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
366,mstr,20741445,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20800010,,,,,367,367,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
367,mstr,20800010,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20858575,,,,,368,368,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
368,mstr,20858575,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20917140,,,,,369,369,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
369,mstr,20917140,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20975705,,,,,370,370,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
370,mstr,20975705,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21034270,,,,,371,371,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
371,mstr,21034270,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21092835,,,,,372,372,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
372,mstr,21092835,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21151400,,,,,373,373,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
373,mstr,21151400,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21209965,,,,,374,374,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
374,mstr,21209965,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21268530,,,,,375,375,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
375,mstr,21268530,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21327095,,,,,376,376,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
376,mstr,21327095,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21385660,,,,,377,377,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
377,mstr,21385660,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21444225,,,,,378,378,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
378,mstr,21444225,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21502790,,,,,379,379,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
379,mstr,21502790,58565,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,21561355,,,,,380,380,,RANK_MASTER_PRESTIGE_FULL,,,ranked_up_master_prestige,,
