a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,
256,mstr,13205650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13264100,,,,,,257,257,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
257,mstr,13264100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13322550,,,,,,258,258,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
258,mstr,13322550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13381000,,,,,,259,259,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
259,mstr,13381000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13439450,,,,,,260,260,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
260,mstr,13439450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13497900,,,,,,261,261,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
261,mstr,13497900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13556350,,,,,,262,262,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
262,mstr,13556350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13614800,,,,,,263,263,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
263,mstr,13614800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13673250,,,,,,264,264,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
264,mstr,13673250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13731700,,,,,,265,265,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
265,mstr,13731700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13790150,,,,,,266,266,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
266,mstr,13790150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13848600,,,,,,267,267,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
267,mstr,13848600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13907050,,,,,,268,268,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
268,mstr,13907050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,13965500,,,,,,269,269,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
269,mstr,13965500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14023950,,,,,,270,270,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
270,mstr,14023950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14082400,,,,,,271,271,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
271,mstr,14082400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14140850,,,,,,272,272,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
272,mstr,14140850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14199300,,,,,,273,273,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
273,mstr,14199300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14257750,,,,,,274,274,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
274,mstr,14257750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14316200,,,,,,275,275,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
275,mstr,14316200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14374650,,,,,,276,276,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
276,mstr,14374650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14433100,,,,,,277,277,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
277,mstr,14433100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14491550,,,,,,278,278,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
278,mstr,14491550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14550000,,,,,,279,279,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
279,mstr,14550000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14608450,,,,,,280,280,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
280,mstr,14608450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14666900,,,,,,281,281,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
281,mstr,14666900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14725350,,,,,,282,282,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
282,mstr,14725350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14783800,,,,,,283,283,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
283,mstr,14783800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14842250,,,,,,284,284,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
284,mstr,14842250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14900700,,,,,,285,285,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
285,mstr,14900700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,14959150,,,,,,286,286,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
286,mstr,14959150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15017600,,,,,,287,287,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
287,mstr,15017600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15076050,,,,,,288,288,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
288,mstr,15076050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15134500,,,,,,289,289,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
289,mstr,15134500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15192950,,,,,,290,290,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
290,mstr,15192950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15251400,,,,,,291,291,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
291,mstr,15251400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15309850,,,,,,292,292,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
292,mstr,15309850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15368300,,,,,,293,293,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
293,mstr,15368300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15426750,,,,,,294,294,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
294,mstr,15426750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15485200,,,,,,295,295,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
295,mstr,15485200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15543650,,,,,,296,296,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
296,mstr,15543650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15602100,,,,,,297,297,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
297,mstr,15602100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15660550,,,,,,298,298,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
298,mstr,15660550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15719000,,,,,,299,299,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
299,mstr,15719000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15777450,,,,,,300,300,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
300,mstr,15777450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15835900,,,,,,301,301,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
301,mstr,15835900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15894350,,,,,,302,302,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
302,mstr,15894350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,15952800,,,,,,303,303,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
303,mstr,15952800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16011250,,,,,,304,304,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
304,mstr,16011250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16069700,,,,,,305,305,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
305,mstr,16069700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16128150,,,,,,306,306,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
306,mstr,16128150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16186600,,,,,,307,307,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
307,mstr,16186600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16245050,,,,,,308,308,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
308,mstr,16245050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16303500,,,,,,309,309,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
309,mstr,16303500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16361950,,,,,,310,310,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
310,mstr,16361950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16420400,,,,,,311,311,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
311,mstr,16420400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16478850,,,,,,312,312,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
312,mstr,16478850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16537300,,,,,,313,313,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
313,mstr,16537300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16595750,,,,,,314,314,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
314,mstr,16595750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16654200,,,,,,315,315,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
315,mstr,16654200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16712650,,,,,,316,316,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
316,mstr,16712650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16771100,,,,,,317,317,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
317,mstr,16771100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16829550,,,,,,318,318,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
318,mstr,16829550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16888000,,,,,,319,319,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
319,mstr,16888000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,16946450,,,,,,320,320,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
320,mstr,16946450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17004900,,,,,,321,321,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
321,mstr,17004900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17063350,,,,,,322,322,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
322,mstr,17063350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17121800,,,,,,323,323,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
323,mstr,17121800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17180250,,,,,,324,324,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
324,mstr,17180250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17238700,,,,,,325,325,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
325,mstr,17238700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17297150,,,,,,326,326,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
326,mstr,17297150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17355600,,,,,,327,327,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
327,mstr,17355600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17414050,,,,,,328,328,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
328,mstr,17414050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17472500,,,,,,329,329,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
329,mstr,17472500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17530950,,,,,,330,330,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
330,mstr,17530950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17589400,,,,,,331,331,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
331,mstr,17589400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17647850,,,,,,332,332,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
332,mstr,17647850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17706300,,,,,,333,333,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
333,mstr,17706300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17764750,,,,,,334,334,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
334,mstr,17764750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17823200,,,,,,335,335,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
335,mstr,17823200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17881650,,,,,,336,336,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
336,mstr,17881650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17940100,,,,,,337,337,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
337,mstr,17940100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,17998550,,,,,,338,338,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
338,mstr,17998550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18057000,,,,,,339,339,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
339,mstr,18057000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18115450,,,,,,340,340,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
340,mstr,18115450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18173900,,,,,,341,341,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
341,mstr,18173900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18232350,,,,,,342,342,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
342,mstr,18232350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18290800,,,,,,343,343,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
343,mstr,18290800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18349250,,,,,,344,344,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
344,mstr,18349250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18407700,,,,,,345,345,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
345,mstr,18407700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18466150,,,,,,346,346,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
346,mstr,18466150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18524600,,,,,,347,347,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
347,mstr,18524600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18583050,,,,,,348,348,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
348,mstr,18583050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18641500,,,,,,349,349,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
349,mstr,18641500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18699950,,,,,,350,350,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
350,mstr,18699950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18758400,,,,,,351,351,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
351,mstr,18758400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18816850,,,,,,352,352,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
352,mstr,18816850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18875300,,,,,,353,353,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
353,mstr,18875300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18933750,,,,,,354,354,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
354,mstr,18933750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,18992200,,,,,,355,355,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
355,mstr,18992200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19050650,,,,,,356,356,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
356,mstr,19050650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19109100,,,,,,357,357,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
357,mstr,19109100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19167550,,,,,,358,358,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
358,mstr,19167550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19226000,,,,,,359,359,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
359,mstr,19226000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19284450,,,,,,360,360,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
360,mstr,19284450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19342900,,,,,,361,361,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
361,mstr,19342900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19401350,,,,,,362,362,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
362,mstr,19401350,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19459800,,,,,,363,363,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
363,mstr,19459800,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19518250,,,,,,364,364,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
364,mstr,19518250,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19576700,,,,,,365,365,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
365,mstr,19576700,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19635150,,,,,,366,366,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
366,mstr,19635150,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19693600,,,,,,367,367,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
367,mstr,19693600,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19752050,,,,,,368,368,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
368,mstr,19752050,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19810500,,,,,,369,369,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
369,mstr,19810500,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19868950,,,,,,370,370,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
370,mstr,19868950,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19927400,,,,,,371,371,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
371,mstr,19927400,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,19985850,,,,,,372,372,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
372,mstr,19985850,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20044300,,,,,,373,373,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
373,mstr,20044300,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20102750,,,,,,374,374,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
374,mstr,20102750,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20161200,,,,,,375,375,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
375,mstr,20161200,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20219650,,,,,,376,376,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
376,mstr,20219650,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20278100,,,,,,377,377,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
377,mstr,20278100,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20336550,,,,,,378,378,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
378,mstr,20336550,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20395000,,,,,,379,379,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
379,mstr,20395000,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20453450,,,,,,380,380,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
380,mstr,20453450,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20511900,,,,,,381,381,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
381,mstr,20511900,58450,RANK_MASTER_PRESTIGE,RANK_MASTER_PRESTIGE_FULL,rank_prestigemaster,20570350,,,,,,382,382,,RANK_MASTER_PRESTIGE_FULL,,ranked_up_master_prestige,
